OOD Type,Manouvre Start Time,Alarm Time,Time Within Manouvre,CUSUM Instability Start Time,Instability Difference to Manouvre Beginning,Time Until Alarm Raised,
Brake,3.14000,6.06000,2.92000,5.68000,2.54000,0.38000
Brake,11.84008,13.22011,1.38003,13.14011,1.30003,0.08000
TrailOff,19.82026,21.84031,2.02005,21.70031,1.88004,0.14000
ZigZagLane,28.92047,30.28050,1.36003,30.20050,1.28003,0.08000
ZigZagRoad,43.18080,43.50080,0.32001,43.26080,0.08000,0.24001
Cut,63.14125,64.76115,1.61989,64.68116,1.53991,0.07999
LoseControl,74.67948,77.05908,2.37960,76.83912,2.15964,0.21996
